Factory,FGSKUCode,ASSEMB_ITEM_DESC,ASSEMB_UOM,COMP_ITEM_CODE,COMP_DESC,COMP_UOM,COMP_QTY,Packing flag,retain_flag_BOM,BOM_version
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102410.0,NEWLYWEDS BREADCRUMB FOR ESCAL,KGM,1.053779881795995,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102560.0,WATER,KGM,3.171741667524452,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,2011104111.0,PLAIN WIMPY BAG 90*60 CM,EA,1.149578052868358,1.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1001101108.0,CHICKEN BREAST,KGM,7.119049893375311,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1001102626.0,PHOSPHATE 450 STABILIZER,KGM,0.0158603802473015,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102070.0,FISH BATTER FOR AMERICANA,KGM,1.005880796259814,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,2011104201.0,CLIPS 744,EA,20.0,1.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,2011104202.0,"FORMAX PAPER 4.1/4* 4,1/2",EA,16.44,1.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,2011104429.0,TAPE,EA,0.002,1.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,2011114306.0,CHICKEN FILLET REGULAR & SPICY,EA,1.015,1.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,2011995400.0,DSC UB CHICKEN BURGER 8PCS BAG,EA,20.4,1.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1001101111.0,FROZEN CHICKEN SKIN,KGM,1.876514714368148,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1001103024.0,Frozen Whole Onion,KGM,0.938257357184074,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102008.0,Soya Protein TVP,KGM,0.2606270436622427,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102009.0,TABLE SALT,KGM,0.0693108342904006,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102014.0,MONOSODIUM,KGM,0.0093825735718407,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102015.0,PHOSPHATE,KGM,0.0197034045008655,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102017.0,FLOUR,KGM,0.4170032698595884,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102021.0,GINGER POWDER,KGM,0.0187651471436814,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102024.0,CELERY SALT,KGM,0.0364877861127139,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102040.0,DRIED ONION MINCED,KGM,0.0521254087324485,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102042.0,ARABIC STARCH,KGM,0.2085016349297942,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102110.0,SOYA PROTEIN CONCENTRATE,KGM,0.1668013079438353,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102136.0,STABLITON,KGM,0.0004170032698595,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102423.0,SAGE POWDER,KGM,0.0041700326985958,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102559.0,WATER,KGM,1.400296980188498,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,2011104111.0,PLAIN WIMPY BAG 90*60 CM,EA,0.0834006539719176,1.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1001101108.0,CHICKEN BREAST,KGM,2.360255456816221,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1001102626.0,PHOSPHATE 450 STABILIZER,KGM,0.0052583630662159,0.0,1,BOM-1
NFC,4001972238,AMC DSC CHICKEN BURGER 8PCS*20BAGS*50GM,CARTON,1006102560.0,WATER,KGM,0.2861216101380832,0.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,2011104201.0,CLIPS 744,EA,20.0,1.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,2011104202.0,"FORMAX PAPER 4.1/4* 4,1/2",EA,16.44,1.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,2011104429.0,TAPE,EA,0.002,1.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,2011114306.0,CHICKEN FILLET REGULAR & SPICY,EA,1.015,1.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,2011995401.0,DSC BEEF BURGER 8PCS BAG,EA,20.4,1.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,1001101002.0,BRAZILIAN BEEF FOREQUARTER,KGM,0.987249544626594,0.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,1001101007.0,BRAZILIAN BEEF TRIMMING,KGM,1.480874316939891,0.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,1001101102.0,BEEF BODY FAT,KGM,1.480874316939891,0.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,1001103024.0,Frozen Whole Onion,KGM,1.135336976320583,0.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,1006102008.0,Soya Protein TVP,KGM,0.3948998178506375,0.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,1006102009.0,TABLE SALT,KGM,0.0888524590163934,0.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,1006102010.0,BLACK PEPPER POWDER,KGM,0.0157959927140255,0.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,1006102015.0,PHOSPHATE,KGM,0.0157959927140255,0.0,1,BOM-1
NFC,4001972239,AMC DSC BEEF BURGER 8PCS*20BAGS*50GM,CARTON,1006102017.0,FLOUR,KGM,0.0987249544626593,0.0,1,BOM-1
