FACTCode,COMP_ITEM_CODE,RM Cost,retain_flag
KFC,1001102625.0,7.431506927725106,12
KFC,1001102626.0,5.8763311999113315,12
KFC,1001103014.0,4.490769297219566,12
KFC,1001103015.0,6.479144457052716,12
KFC,1001103024.0,0.966713366551114,12
KFC,1001760101.0,4.367514867597234,12
KFC,1002102047.0,1.0164440331684348,12
KFC,1002102073.0,1.9047695486754976,12
KFC,1002102074.0,2.3090630900312927,12
KFC,1002103029.0,0.9801479370935874,12
KFC,1002103035.0,0.0678061789972793,12
KFC,1002103038.0,0.0847085534154484,12
KFC,1002103039.0,10.061459837512627,12
KFC,1002103040.0,3.3838002705247696,12
KFC,1002103041.0,2.8679582774092918,12
KFC,1002103042.0,0.8119155536855748,12
KFC,1003103016.0,5.722786085791277,12
